Winners, Losers
Memphis,Western Kentucky
Kentucky,Ohio
Alabama,Oakland
Maryland,Hofstra
Auburn,South Florida
St. Bonaventure,Clemson
Longwood,American
Arkansas State,Southeast Missouri State
Belmont,Kennesaw State
Boise State,Temple
Colorado State,Bradley
Creighton,Brown
Santa Clara,Cal Poly
Cal State Fullerton,San Diego
Virginia,Coppin State
Davidson,Penn
Texas State,Dixie State
East Carolina,Old Dominion
Eastern Washington,Cal State Northridge
James Madison,George Mason
Georgia Tech,Georgia
Florida International,Green Bay
Wofford,Hampton
Nebraska,Idaho State
Minnesota,Purdue-Fort Wayne
Merrimack,Lehigh
Iona,Liberty
Louisiana Tech,Northwestern State
Maine,Maine-Fort Kent
Marquette,West Virginia
Maryland-Eastern Shore,Fordham
UMass,UNC Greensboro
UMass-Lowell,George Washington
Stephen F. Austin,Middle Tennessee
Ole Miss,Elon
Mount St. Mary's,Robert Morris
Utah State,New Mexico State
Niagara,SIU-Edwardsville
Norfolk State,Bowling Green State
Manhattan,North Alabama
Northeastern,Duquesne
Oklahoma,Indiana State
Tarleton State,Paul Quinn
Furman,Radford
Rice,New Orleans
Georgetown,Siena
South Dakota,Southern
Southern Illinois,Colorado
Youngstown State,St. Thomas (MN)
Stetson,Lamar
Florida Atlantic,UT-Martin
UTEP,Pacific
Pitt,Towson
North Dakota,Troy
Weber State,Ball State
Cornell,Wells
UMBC,Western Carolina
Arizona,Wichita State
Vermont,Yale
Michigan,UNLV
Villanova,Tennessee
Purdue,UNC
Texas,San Jose State
Baylor,Stanford
UConn,Binghamton
Eastern Kentucky,Albany (NY)
La Salle,Army
Austin Peay,Dayton
UC-Riverside,Bethesda University (CA)
Bethune-Cookman,Bryant
Charleston Southern,Bob Jones University
Brown,Bradley
Illinois State,Bucknell
UC-San Diego,Sacramento State
Cleveland State,Canisius
Gardner-Webb,Carver College
Quinnipiac,Central Connecticut
UCF,Evansville
BYU,Central Methodist
Chattanooga,VCU
UCSB,Chicago State
Colgate,Syracuse
Louisville,Detroit
Cal State Northridge,Dixie State
Colorado,Duquesne
Michigan State,Eastern Michigan
Fairfield,Sacred Heart
St. John's (NY),Fairleigh Dickinson
Georgia Southern,Hampton
Georgia State,William & Mary
Miami (OH),Heidelberg
Air Force,Holy Cross
High Point,Howard
Loyola (IL),UIC
Iona,North Alabama
Manhattan,Liberty
Longwood,UMBC
Harvard,MIT
Saint Louis,Mercer
South Alabama,Mobile
Monmouth,St. Joseph's
New Mexico,Montana State
Portland,Morgan State
Columbia,Mount Saint Vincent
Montana,Omaha
St. Thomas (MN),Niagara
Wake Forest,North Carolina A&T
Alabama State,North Carolina Central
UNC Wilmington,Delaware State
Florida Atlantic,North Dakota
Northern Arizona,Texas-Rio Grande Valley
Central Arkansas,Oral Roberts
UC-Irvine,Pepperdine
Navy,Radford
Drake,Richmond
Buffalo,Rider
SIU-Edwardsville,Youngstown State
San Diego State,UT Arlington
Texas State,Eastern Washington
Texas Tech,Incarnate Word
Troy,UT-Martin
Tulsa,Rhode Island
Utah,Boston College
Marist,VMI
North Florida,Webber
Western Carolina,American
DePaul,Western Illinois
Vanderbilt,Winthrop
Arizona,Michigan
Purdue,Villanova
Tennessee,UNC
St. Bonaventure,Marquette
Air Force,Bethune-Cookman
UAB,Alabama A&M
Ball State,UMass
Boise State,Ole Miss
Rhode Island,Boston College
Bryant,Holy Cross
West Virginia,Clemson
Colorado State,Creighton
Davidson,East Carolina
Florida Gulf Coast,Eckerd
Miami (FL),Florida A&M
Wofford,Georgia Southern
Georgia State,High Point
